馬名,link,子系統,category,距離,成長,ダート,体質,気性,実績,底力,安定,非凡,天性,父,父父,父父父,父父父父,父父母父,父母父,父母父父,父母母父,母父,母父父,母父父父,母父母父,母母父,母母父父,母母母父,pa:父,pa:父父,pa:父父父,pa:父父父父,pa:父父母父,pa:父母父,pa:父母父父,pa:父母母父,pa:母父,pa:母父父,pa:母父父父,pa:母父母父,pa:母母父,pa:母母父父,pa:母母母父,chi:父,chi:父父,chi:父父父,chi:父父父父,chi:父父母父,chi:父母父,chi:父母父父,chi:父母母父,chi:母父,chi:母父父,chi:母父父父,chi:母父母父,chi:母母父,chi:母母父父,chi:母母母父
アイアンリージ-瓏闘-,https://dabimas.jp/kouryaku/stallions/2835147503.html,テディ系,12,1600m〜2500m,普通,◎,A,B,A,A,B,Stand Up Guy,,Bull Lea,Bull Dog,Teddy,Ajax,Spearmint,Ballot,Voter,Trenton,War Admiral,Man o'War,Fair Play,Sweep,Sir Gallahad,Teddy,Uncle,Teddy,Teddy,Teddy,Eclipse,Eclipse,Eclipse,Eclipse,Eclipse,Matchem,Matchem,Matchem,Eclipse,Teddy,Teddy,Eclipse,テディ系,テディ系,テディ系,エクリプス系,エクリプス系,エクリプス系,エクリプス系,エクリプス系,マンノウォー系,マンノウォー系,マッチェム系,エクリプス系,テディ系,テディ系,エクリプス系
アイシラヌユエ20XX,https://dabimas.jp/kouryaku/stallions/1568731452.html,ヘイルトゥリーズン系,1007,1600m〜2300m,晩成,◎,B,B,A,A,A,無想陰殺,,トーホウエンペラー,ブライアンズタイム,ロベルト,ヘイルトゥリーズン,グロースターク,ノーリュート,リュティエ,マッチウォン,モンズーン,Konigsstuhl,Dschingis Khan,Surumu,ファーディナンド,ニジンスキー,アイリッシュリヴァー,Royal Charger,Royal Charger,Royal Charger,Royal Charger,St.Simon,Herod,Herod,Teddy,Swynford,Swynford,Swynford,Hampton,Nearctic,Nearctic,Nasrullah,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,リボー系,クラリオン系,クラリオン系,テディ系,ブランドフォード系,ブランドフォード系,ブランドフォード系,ハンプトン系,ノーザンダンサー系,ノーザンダンサー系,ネヴァーベンド系
アイスカペイド-極走-,https://dabimas.jp/kouryaku/stallions/2614531278.html,ニアークティック系,07,1200m〜2200m,普通,◎,A,C,A,A,C,,,ニアークティック,ネアルコ,Pharos,Phalaris,Havresac,ハイペリオン,Gainsborough,Abbots Trace,ネイティヴダンサー,Polynesian,Unbreakable,Discovery,Fighting Fox,Sir Gallahad,Transmute,Nearctic,Phalaris,Phalaris,Phalaris,St.Simon,Hampton,Hampton,Eclipse,Native Dancer,Phalaris,Phalaris,Matchem,Teddy,Teddy,Eclipse,ニアークティック系,ネアルコ系,ファロス系,ファラリス系,セントサイモン系,ハイペリオン系,ハンプトン系,エクリプス系,ネイティヴダンサー系,ファラリス系,ファラリス系,マッチェム系,テディ系,テディ系,エクリプス系
アイスカペイド1973,https://dabimas.jp/kouryaku/stallions/6162543839.html,ニアークティック系,07,1200m〜2200m,普通,◎,A,C,A,A,C,Disturb,,ニアークティック,ネアルコ,Pharos,Phalaris,Havresac,ハイペリオン,Gainsborough,Abbots Trace,ネイティヴダンサー,Polynesian,Unbreakable,Discovery,Fighting Fox,Sir Gallahad,Transmute,Nearctic,Phalaris,Phalaris,Phalaris,St.Simon,Hampton,Hampton,Eclipse,Native Dancer,Phalaris,Phalaris,Matchem,Teddy,Teddy,Eclipse,ニアークティック系,ネアルコ系,ファロス系,ファラリス系,セントサイモン系,ハイペリオン系,ハンプトン系,エクリプス系,ネイティヴダンサー系,ファラリス系,ファラリス系,マッチェム系,テディ系,テディ系,エクリプス系
アイナドイラヌ20XX,https://dabimas.jp/kouryaku/stallions/4218163573.html,レイズアネイティヴ系,1007,1200m〜2500m,普通,◎,B,C,A,A,C,将星,,スターリングローズ,アフリート,ミスタープロスペクター,Raise a Native,Venetian Jester,ダンチヒ,ノーザンダンサー,バックパサー,エーピーインディ,シアトルスルー,Bold Reasoning,セクレタリアト,Spectacular Bid,Bold Bidder,リヴァーマン,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Tom Fool,Nearctic,Nearctic,Tom Fool,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Nasrullah,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,トムフール系,ノーザンダンサー系,ノーザンダンサー系,トムフール系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ネヴァーベンド系
アイネスフウジン,https://dabimas.jp/kouryaku/stallions/3452441686.html,サンインロー系,05,1600m〜2300m,普通,〇,B,B,B,A,B,,,シーホーク,エルバジェ,Vandale,Plassy,Escamillo,Free Man,Norseman,Ocean Swell,テスコボーイ,プリンスリーギフト,ナスルーラ,ハイペリオン,モンタヴァル,Norseman,トサミドリ,Hampton,Hampton,Hampton,Hampton,Phalaris,Swynford,Swynford,Fairway,Nasrullah,Nasrullah,Nasrullah,Hampton,Swynford,Swynford,Swynford,サンインロー系,サンインロー系,サンインロー系,サンインロー系,ファロス系,ブランドフォード系,ブランドフォード系,フェアウェイ系,プリンスリーギフト系,プリンスリーギフト系,ナスルーラ系,ハイペリオン系,ブランドフォード系,ブランドフォード系,ブランドフォード系
アイネスフウジン-極走-,https://dabimas.jp/kouryaku/stallions/1734825353.html,サンインロー系,11,1600m〜2400m,普通,〇,B,B,A,A,B,風神逃魂,,シーホーク,エルバジェ,Vandale,Plassy,Escamillo,Free Man,Norseman,Ocean Swell,テスコボーイ,プリンスリーギフト,ナスルーラ,ハイペリオン,モンタヴァル,Norseman,トサミドリ,Hampton,Hampton,Hampton,Hampton,Phalaris,Swynford,Swynford,Fairway,Nasrullah,Nasrullah,Nasrullah,Hampton,Swynford,Swynford,Swynford,サンインロー系,サンインロー系,サンインロー系,サンインロー系,ファロス系,ブランドフォード系,ブランドフォード系,フェアウェイ系,プリンスリーギフト系,プリンスリーギフト系,ナスルーラ系,ハイペリオン系,ブランドフォード系,ブランドフォード系,ブランドフォード系
アイネスフウジン-覇走-,https://dabimas.jp/kouryaku/stallions/2861140583.html,サンインロー系,05,1600m〜2300m,普通,〇,B,B,B,A,B,,,シーホーク,エルバジェ,Vandale,Plassy,Escamillo,Free Man,Norseman,Ocean Swell,テスコボーイ,プリンスリーギフト,ナスルーラ,ハイペリオン,モンタヴァル,Norseman,トサミドリ,Hampton,Hampton,Hampton,Hampton,Phalaris,Swynford,Swynford,Fairway,Nasrullah,Nasrullah,Nasrullah,Hampton,Swynford,Swynford,Swynford,サンインロー系,サンインロー系,サンインロー系,サンインロー系,ファロス系,ブランドフォード系,ブランドフォード系,フェアウェイ系,プリンスリーギフト系,プリンスリーギフト系,ナスルーラ系,ハイペリオン系,ブランドフォード系,ブランドフォード系,ブランドフォード系
アイランドホワール,https://dabimas.jp/kouryaku/stallions/8315438266.html,フェアウェイ系,05,1200m〜1800m,晩成,◎,A,B,B,A,C,,,Pago Pago,Matrice,Masthead,Blue Peter,St.Magnus,Abbots Fell,Felstead,Talking,Your Alibhai,アリバイ,ハイペリオン,Beau Pere,ネイティヴダンサー,Polynesian,Ambiorix,Fairway,Fairway,Fairway,Fairway,Swynford,Eclipse,Eclipse,Hampton,Hampton,Hampton,Hampton,Hampton,Native Dancer,Phalaris,Herod,フェアウェイ系,フェアウェイ系,フェアウェイ系,フェアウェイ系,スインフォード系,エクリプス系,エクリプス系,ハンプトン系,ハイペリオン系,ハイペリオン系,ハイペリオン系,サンインロー系,ネイティヴダンサー系,ファラリス系,トウルビヨン系
アイランドホワール-瞬発-,https://dabimas.jp/kouryaku/stallions/4218652543.html,フェアウェイ系,05,1200m〜1800m,晩成,◎,A,B,B,A,C,,,Pago Pago,Matrice,Masthead,Blue Peter,St.Magnus,Abbots Fell,Felstead,Talking,Your Alibhai,アリバイ,ハイペリオン,Beau Pere,ネイティヴダンサー,Polynesian,Ambiorix,Fairway,Fairway,Fairway,Fairway,Swynford,Eclipse,Eclipse,Hampton,Hampton,Hampton,Hampton,Hampton,Native Dancer,Phalaris,Herod,フェアウェイ系,フェアウェイ系,フェアウェイ系,フェアウェイ系,スインフォード系,エクリプス系,エクリプス系,ハンプトン系,ハイペリオン系,ハイペリオン系,ハイペリオン系,サンインロー系,ネイティヴダンサー系,ファラリス系,トウルビヨン系
